TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
4h,PFR,1.0,ret_5_pct,Low25,20,0.55,,0.17714222309708205
4h,PFR,1.0,ret_5_pct,High25,20,0.35,1.5691111975320193,
4h,PFR,1.0,vol_z,Low25,20,0.6,,-0.6600953637822309
4h,PFR,1.0,vol_z,High25,20,0.45,1.1797331294163302,
1d,8.3,1.5,ALL,ALL,27,0.3333333333333333,,
1d,8.3,1.5,bars_since_new_high,Low25,10,0.2,,2.0
1h,8.2,1.5,ALL,ALL,255,0.33725490196078434,,
1h,8.2,1.5,slope_strength,Low25,64,0.296875,,43.43124999999782
1h,8.2,1.5,slope_strength,High25,64,0.328125,161.75,
1h,8.2,1.5,bars_since_new_high,Low25,99,0.35353535353535354,,1.0
1h,8.2,1.5,bars_since_new_high,High25,91,0.4065934065934066,3.0,
1h,8.2,1.5,pullback_from_new_high_pct,Low25,64,0.296875,,0.6131431716772447
1h,8.2,1.5,pullback_from_new_high_pct,High25,64,0.328125,1.2172610966487074,
1h,8.2,1.5,dist_to_sma80_pct,Low25,64,0.390625,,1.0396525340779397
1h,8.2,1.5,dist_to_sma80_pct,High25,64,0.296875,2.9602873718145912,
1h,8.2,1.5,atr_pct,Low25,64,0.375,,0.4895773427549239
1h,8.2,1.5,atr_pct,High25,64,0.328125,0.827734675359336,
1h,8.2,1.5,clv,Low25,64,0.3125,,0.11483441893121822
1h,8.2,1.5,clv,High25,64,0.421875,0.38470531784223794,
1h,8.2,1.5,lower_wick_pct,Low25,64,0.3125,,11.483441893121823
1h,8.2,1.5,lower_wick_pct,High25,64,0.421875,38.470531784223795,
1h,8.2,1.5,pos_in_range_n,Low25,64,0.328125,,0.6714921411706514
1h,8.2,1.5,pos_in_range_n,High25,64,0.28125,0.8020509756123595,
1h,8.2,1.5,ret_5_pct,Low25,64,0.328125,,0.2025416003253122
1h,8.2,1.5,ret_5_pct,High25,64,0.359375,1.0338139061906726,
1h,8.2,1.5,vol_z,Low25,64,0.296875,,-0.651310380682443
1h,8.2,1.5,vol_z,High25,64,0.375,0.27810216672224997,
1h,8.3,1.5,ALL,ALL,558,0.3888888888888889,,
1h,8.3,1.5,slope_strength,Low25,140,0.40714285714285714,,39.784374999995634
1h,8.3,1.5,slope_strength,High25,140,0.4,155.51874999999563,
1h,8.3,1.5,bars_since_new_high,Low25,175,0.41714285714285715,,1.0
1h,8.3,1.5,bars_since_new_high,High25,145,0.43448275862068964,4.0,
1h,8.3,1.5,pullback_from_new_high_pct,Low25,140,0.40714285714285714,,0.5035268468909435
1h,8.3,1.5,pullback_from_new_high_pct,High25,140,0.39285714285714285,1.015658729609905,
1h,8.3,1.5,dist_to_sma80_pct,Low25,140,0.45,,1.154483330629184
1h,8.3,1.5,dist_to_sma80_pct,High25,140,0.37857142857142856,3.383003366473048,
1h,8.3,1.5,atr_pct,Low25,140,0.44285714285714284,,0.4844325630666356
1h,8.3,1.5,atr_pct,High25,140,0.37857142857142856,0.8297384171489731,
1h,8.3,1.5,clv,Low25,140,0.35714285714285715,,0.256480163549365
1h,8.3,1.5,clv,High25,140,0.37857142857142856,0.7017553813739128,
1h,8.3,1.5,lower_wick_pct,Low25,140,0.34285714285714286,,17.367713875608587
1h,8.3,1.5,lower_wick_pct,High25,140,0.39285714285714285,50.914238413723304,
1h,8.3,1.5,pos_in_range_n,Low25,140,0.38571428571428573,,0.696796931525993
1h,8.3,1.5,pos_in_range_n,High25,140,0.32857142857142857,0.8459992728646426,
1h,8.3,1.5,ret_5_pct,Low25,140,0.39285714285714285,,0.2204311985697649
1h,8.3,1.5,ret_5_pct,High25,140,0.37857142857142856,1.054702188482387,
1h,8.3,1.5,vol_z,Low25,140,0.3142857142857143,,-0.7045986622282183
1h,8.3,1.5,vol_z,High25,140,0.45,0.1678567937454372,
1h,DL,1.5,ALL,ALL,166,0.3493975903614458,,
1h,DL,1.5,slope_strength,Low25,42,0.2619047619047619,,36.068750000000364
1h,DL,1.5,slope_strength,High25,42,0.35714285714285715,148.787499999994,
1h,DL,1.5,bars_since_new_high,Low25,85,0.3176470588235294,,2.0
1h,DL,1.5,bars_since_new_high,High25,50,0.4,4.0,
1h,DL,1.5,pullback_from_new_high_pct,Low25,42,0.35714285714285715,,0.5691832435115971
1h,DL,1.5,pullback_from_new_high_pct,High25,42,0.40476190476190477,1.1014392904726997,
1h,DL,1.5,dist_to_sma80_pct,Low25,42,0.3333333333333333,,1.0740263100200154
1h,DL,1.5,dist_to_sma80_pct,High25,42,0.30952380952380953,3.009155268245041,
1h,DL,1.5,atr_pct,Low25,42,0.30952380952380953,,0.4893093004597936
1h,DL,1.5,atr_pct,High25,42,0.30952380952380953,0.8201986696559934,
1h,DL,1.5,clv,Low25,42,0.30952380952380953,,0.2745552431639413
1h,DL,1.5,clv,High25,42,0.38095238095238093,0.597491039299956,
1h,DL,1.5,lower_wick_pct,Low25,42,0.30952380952380953,,27.455524316394133
1h,DL,1.5,lower_wick_pct,High25,42,0.38095238095238093,59.74910392999559,
1h,DL,1.5,pos_in_range_n,Low25,42,0.42857142857142855,,0.6876489073270065
1h,DL,1.5,pos_in_range_n,High25,42,0.38095238095238093,0.8175202998989359,
1h,DL,1.5,ret_5_pct,Low25,42,0.35714285714285715,,0.13258589823437195
1h,DL,1.5,ret_5_pct,High25,42,0.4523809523809524,0.6284438898363831,
1h,DL,1.5,vol_z,Low25,42,0.21428571428571427,,-0.6519505291464325
1h,DL,1.5,vol_z,High25,42,0.4523809523809524,0.2374924179318037,
1h,PFR,1.5,ALL,ALL,257,0.38910505836575876,,
1h,PFR,1.5,slope_strength,Low25,65,0.4461538461538462,,27.549999999995634
1h,PFR,1.5,slope_strength,High25,65,0.36923076923076925,116.80000000000291,
1h,PFR,1.5,bars_since_new_high,Low25,91,0.38461538461538464,,2.0
1h,PFR,1.5,bars_since_new_high,High25,65,0.47692307692307695,15.0,
1h,PFR,1.5,pullback_from_new_high_pct,Low25,65,0.4153846153846154,,0.3655719594255322
1h,PFR,1.5,pullback_from_new_high_pct,High25,65,0.4153846153846154,1.006856512612166,
1h,PFR,1.5,dist_to_sma80_pct,Low25,65,0.3230769230769231,,0.881452579598638
1h,PFR,1.5,dist_to_sma80_pct,High25,65,0.4,2.760763420494511,
1h,PFR,1.5,atr_pct,Low25,65,0.4307692307692308,,0.4315465146863663
1h,PFR,1.5,atr_pct,High25,65,0.4307692307692308,0.7663827468769956,
1h,PFR,1.5,clv,Low25,65,0.38461538461538464,,0.7249515190691551
1h,PFR,1.5,clv,High25,65,0.4,0.9172385950746862,
1h,PFR,1.5,lower_wick_pct,Low25,65,0.4307692307692308,,26.172090457804988
1h,PFR,1.5,lower_wick_pct,High25,65,0.3384615384615385,55.92823712948418,
1h,PFR,1.5,pos_in_range_n,Low25,65,0.38461538461538464,,0.7004483789376845
1h,PFR,1.5,pos_in_range_n,High25,65,0.5230769230769231,0.8729830368225072,
1h,PFR,1.5,ret_5_pct,Low25,65,0.3384615384615385,,0.15187630711344102
1h,PFR,1.5,ret_5_pct,High25,65,0.46153846153846156,0.7448611670574978,
1h,PFR,1.5,vol_z,Low25,65,0.35384615384615387,,-0.5896431360977697
